rngRun,flow,nStations,distance,linksNumber,loss,jitter,latency,throughput,rxBytes,txBytes,rxPackets,txPackets,timeFirstRxPacket,timeFirstTxPacket,timeLastRxPacket,timeLastTxPacket,jitterSum,delaySum,rateAdaptationManager,scenario,MLOn,paddingDelayUsec,transitionDelayUsec
1,1,1,1,3,35.7335,0.000124002,1.25897,70.0667,1101772040,1714380856,721055,1121977,1.03054,1.03054,121,121,89.4123,907788,ns3::ThompsonSamplingWifiManager,3,0,256,16
1,2,1,1,3,59.3171,0.000285051,1.45875,44.3507,697460184,1714380856,456453,1121977,1.0166,1.0166,120.997,120.997,130.112,665851,ns3::ThompsonSamplingWifiManager,3,0,256,16
1,3,1,1,3,17.201,4.6361e-05,0.934257,90.2578,1419490608,1714380856,928986,1121977,1.01192,1.01192,121,121,43.0686,867911,ns3::ThompsonSamplingWifiManager,3,0,256,16
1,4,1,1,3,4.47264,1.70477e-05,0.142684,104.132,1637702760,1714380856,1071795,1121977,1.01111,1.01111,121,121,18.2716,152928,ns3::ThompsonSamplingWifiManager,3,0,256,16
1,1,1,1,3,33.7043,0.000113886,1.23909,72.2803,1136561544,1714380856,743823,1121977,1.03102,1.03102,120.998,120.998,84.711,921665,ns3::ThompsonSamplingWifiManager,3,0,256,32
1,2,1,1,3,60.7684,0.000302662,1.51332,42.7658,672579760,1714380856,440170,1121977,1.01198,1.01198,121,121,133.222,666116,ns3::ThompsonSamplingWifiManager,3,0,256,32
1,3,1,1,3,17.8979,4.84035e-05,0.912647,89.4998,1407543176,1714380856,921167,1121977,1.01407,1.01407,121,121,44.5877,840701,ns3::ThompsonSamplingWifiManager,3,0,256,32
1,4,1,1,3,4.45009,1.69862e-05,0.142033,104.157,1638089344,1714380856,1072048,1121977,1.01112,1.01112,121,121,18.21,152267,ns3::ThompsonSamplingWifiManager,3,0,256,32
1,1,1,1,3,41.8841,0.000158404,1.34582,63.3651,996327816,1714380856,652047,1121977,1.0384,1.0384,121,121,103.287,877537,ns3::ThompsonSamplingWifiManager,3,0,256,64
1,2,1,1,3,49.5245,0.000177728,1.3562,55.0236,865341544,1714380856,566323,1121977,1.01174,1.01174,120.997,120.997,100.651,768046,ns3::ThompsonSamplingWifiManager,3,0,256,64
1,3,1,1,3,13.8288,3.69043e-05,0.790142,93.9378,1477302488,1714380856,966821,1121977,1.01718,1.01718,121,121,35.6798,763926,ns3::ThompsonSamplingWifiManager,3,0,256,64
1,4,1,1,3,4.95411,1.81788e-05,0.162339,103.607,1629448504,1714380856,1066393,1121977,1.01112,1.01112,121,121,19.3857,173117,ns3::ThompsonSamplingWifiManager,3,0,256,64
1,1,1,1,3,49.531,0.000212928,1.42641,55.0195,865231528,1714380856,566251,1121977,1.01987,1.01987,120.999,120.999,120.571,807708,ns3::ThompsonSamplingWifiManager,3,0,256,128
1,2,1,1,3,49.3915,0.000211537,1.43113,55.1794,867622848,1714380856,567816,1121977,1.03778,1.03778,121,121,120.114,812621,ns3::ThompsonSamplingWifiManager,3,0,256,128
1,3,1,1,3,2.25735,1.20278e-05,0.0743257,106.545,1675681200,1714380856,1096650,1121977,1.00863,1.00863,121,121,13.1903,81509.3,ns3::ThompsonSamplingWifiManager,3,0,256,128
1,4,1,1,3,6.1126,2.09048e-05,0.222518,102.348,1609587560,1714380856,1053395,1121977,1.01494,1.01494,121,121,22.021,234399,ns3::ThompsonSamplingWifiManager,3,0,256,128
1,1,1,1,3,63.1577,0.00036851,1.80677,40.1785,631617136,1714380856,413362,1121977,1.05506,1.05506,120.991,120.991,152.328,746851,ns3::ThompsonSamplingWifiManager,3,0,256,256
1,2,1,1,3,63.8395,0.000380017,1.8288,39.4221,619929464,1714380856,405713,1121977,1.02021,1.02021,120.996,120.996,154.177,741967,ns3::ThompsonSamplingWifiManager,3,0,256,256
1,3,1,1,3,2.27224,1.20682e-05,0.074515,106.529,1675426024,1714380856,1096483,1121977,1.00915,1.00915,121,121,13.2326,81704.5,ns3::ThompsonSamplingWifiManager,3,0,256,256
1,4,1,1,3,64.1226,0.00038468,1.83763,39.1158,615075008,1714380856,402536,1121977,1.03174,1.03174,121,121,154.847,739711,ns3::ThompsonSamplingWifiManager,3,0,256,256

