rngRun,flow,nStations,distance,linksNumber,loss,jitter,latency,throughput,rxBytes,txBytes,rxPackets,txPackets,timeFirstRxPacket,timeFirstTxPacket,timeLastRxPacket,timeLastTxPacket,jitterSum,delaySum
407456,6,10,1,1,32.9177,0.00171184,0.43633,8.88899,133252296,198640000,87207,130000,1.04721,1.04721,120.973,120.973,149.282,38051.1
407456,7,10,1,1,35.3392,0.00171735,0.437427,8.5809,128442152,198640000,84059,130000,1.0282,1.0282,120.775,120.775,144.357,36769.6
407456,8,10,1,1,33.5977,0.00168968,0.420122,8.81164,131901544,198640000,86323,130000,1.08995,1.08995,120.842,120.842,145.856,36266.2
407456,9,10,1,1,36.5315,0.00171557,0.43999,8.41547,126073752,198640000,82509,130000,1.07938,1.07938,120.929,120.929,141.549,36303.1
407456,10,10,1,1,31.1969,0.00170173,0.411837,9.11314,136670432,198640000,89444,130000,1.02336,1.02336,121,121,152.208,36836.4
407456,1,8,1,3,30.5508,0.00144763,0.496719,11.499,172442440,248300000,112855,162500,1.01824,1.01824,120.988,120.988,163.371,56057.2
407456,2,8,1,3,27.0098,0.00142028,0.460238,12.0843,181234552,248300000,118609,162500,1.01627,1.01627,120.996,120.996,168.456,54588.4
407456,3,8,1,3,27.3865,0.00141575,0.485656,12.1425,180299416,248300000,117997,162500,2.10188,2.10188,120.891,120.891,167.052,57305.9
407456,4,8,1,3,30.6166,0.00144926,0.492662,11.4893,172278944,248300000,112748,162500,1.0197,1.0197,120.977,120.977,163.4,55546.7
407456,5,8,1,3,27.3557,0.00143042,0.478773,12.0316,180375816,248300000,118047,162500,1.03134,1.03134,120.966,120.966,168.855,56517.7
407456,6,8,1,3,28.6068,0.0014288,0.459544,11.8283,177269392,248300000,116014,162500,1.01535,1.01535,120.91,120.91,165.759,53313.5
407456,7,8,1,3,33.2277,0.00147146,0.521851,11.0775,165795640,248300000,108505,162500,1.02367,1.02367,120.759,120.759,159.66,56623.4
407456,8,8,1,3,30.3342,0.00145615,0.504458,11.5369,172980296,248300000,113207,162500,1.05082,1.05082,121,121,164.845,57108.2
407456,1,9,1,2,32.6816,0.00155123,0.434367,9.90839,148579664,220711960,97238,144445,1.03221,1.03221,120.995,120.995,150.837,42237
407456,2,9,1,2,35.5187,0.00158378,0.467843,9.4914,142317920,220711960,93140,144445,1.04333,1.04333,120.999,120.999,147.512,43574.9
407456,3,9,1,2,35.3207,0.00157543,0.461669,9.52238,142754928,220711960,93426,144445,1.03584,1.03584,120.968,120.968,147.185,43131.9
407456,4,9,1,2,33.7741,0.00155969,0.449428,9.74949,146168480,220711960,95660,144445,1.02081,1.02081,120.96,120.96,149.198,42992.3
407456,5,9,1,2,32.3445,0.00155879,0.447477,9.9621,149323800,220711960,97725,144445,1.02803,1.02803,120.942,120.942,152.331,43729.7
407456,6,9,1,2,32.944,0.00157079,0.456428,9.86853,148000552,220711960,96859,144445,1.02209,1.02209,121,121,152.143,44209.2
407456,7,9,1,2,30.1755,0.00154228,0.433136,10.2975,154111024,220711960,100858,144445,1.09731,1.09731,120.824,120.824,155.55,43685.2
407456,8,9,1,2,33.853,0.00156358,0.443499,9.75499,145994288,220711960,95546,144445,1.12397,1.12397,120.853,120.853,149.392,42374.5
407456,9,9,1,2,32.9932,0.00156557,0.449385,9.87041,147892064,220711960,96788,144445,1.01259,1.01259,120.88,120.88,151.527,43495.1
407456,1,11,1,1,37.4465,0.00184713,0.401549,7.54394,112960456,180582096,73927,118182,1.10932,1.10932,120.899,120.899,136.551,29685.3
407456,2,11,1,1,36.0757,0.00185388,0.382006,7.69808,115435816,180582096,75547,118182,1.03679,1.03679,121,121,140.053,28859.4
407456,3,11,1,1,39.1836,0.00185597,0.393855,7.33514,109823472,180582096,71874,118182,1.04786,1.04786,120.826,120.826,133.394,28307.9
407456,4,11,1,1,41.5266,0.001874,0.429852,7.0467,105592440,180582096,69105,118182,1.0525,1.0525,120.93,120.93,129.501,29704.9
407456,5,11,1,1,39.3368,0.00186155,0.4071,7.31559,109546904,180582096,71693,118182,1.17074,1.17074,120.966,120.966,133.458,29186.2
407456,6,11,1,1,38.7842,0.00184207,0.391702,7.38699,110544688,180582096,72346,118182,1.04674,1.04674,120.765,120.765,133.265,28338
407456,7,11,1,1,39.4341,0.00184971,0.403077,7.31982,109371184,180582096,71578,118182,1.0311,1.0311,120.565,120.565,132.397,28851.4
407456,8,11,1,1,38.3282,0.00185477,0.386867,7.42954,111368280,180582096,72885,118182,1.03169,1.03169,120.951,120.951,135.183,28196.8
407456,9,11,1,1,38.3688,0.00183971,0.394344,7.42588,111294936,180582096,72837,118182,1.07426,1.07426,120.974,120.974,133.997,28722.9
407456,10,11,1,1,37.8611,0.00184879,0.394883,7.48542,112211736,180582096,73437,118182,1.06013,1.06013,120.986,120.986,135.768,28999
407456,11,11,1,1,38.4585,0.00183751,0.39573,7.44164,111132968,180582096,72731,118182,1.37128,1.37128,120.843,120.843,133.642,28781.8
407456,1,9,1,3,34.8631,0.00156367,0.461232,9.58701,143764936,220711960,94087,144445,1.0336,1.0336,121,121,147.119,43396
407456,2,9,1,3,34.2103,0.00158782,0.453481,9.8496,145205840,220711960,95030,144445,3.05505,3.05505,120.994,120.994,150.889,43094.3
407456,3,9,1,3,33.4106,0.00156227,0.453834,9.82386,146970680,220711960,96185,144445,1.07519,1.07519,120.76,120.76,150.265,43652
407456,4,9,1,3,34.1362,0.00157117,0.460781,9.69622,145369336,220711960,95137,144445,1.03973,1.03973,120.979,120.979,149.475,43837.3
407456,5,9,1,3,29.3994,0.0015454,0.444197,10.3984,155823912,220711960,101979,144445,1.05731,1.05731,120.941,120.941,157.597,45298.8
407456,6,9,1,3,32.8713,0.00155738,0.45045,9.88803,148160992,220711960,96964,144445,1.12647,1.12647,120.997,120.997,151.008,43677.4
407456,7,9,1,3,31.7346,0.00156621,0.450119,10.0578,150669968,220711960,98606,144445,1.05946,1.05946,120.903,120.903,154.436,44384.4
407456,8,9,1,3,33.5941,0.00156335,0.442556,9.77475,146565760,220711960,95920,144445,1.0204,1.0204,120.975,120.975,149.955,42449.9
407456,9,9,1,3,30.8983,0.00154886,0.42556,10.1753,152515792,220711960,99814,144445,1.02382,1.02382,120.935,120.935,154.596,42476.8
407456,1,10,1,2,33.7154,0.00167037,0.411879,8.7834,131667760,198640000,86170,130000,1.02344,1.02344,120.948,120.948,143.934,35491.6
407456,2,10,1,2,36.4554,0.00167684,0.422035,8.41575,126225024,198640000,82608,130000,1.01068,1.01068,121,121,138.518,34863.4
407456,3,10,1,2,36.0038,0.00167215,0.416796,8.53434,127121960,198640000,83195,130000,1.7065,1.7065,120.869,120.869,139.113,34675.4
407456,4,10,1,2,33.6185,0.00167429,0.405813,8.8193,131860288,198640000,86296,130000,1.02293,1.02293,120.634,120.634,144.483,35020.1
407456,5,10,1,2,39.5877,0.00169295,0.439357,8.03861,120003008,198640000,78536,130000,1.43131,1.43131,120.858,120.858,132.956,34505.3
407456,6,10,1,2,34.8031,0.00166841,0.398299,8.63902,129507168,198640000,84756,130000,1.04245,1.04245,120.97,120.97,141.406,33758.3
407456,7,10,1,2,36.4431,0.00167371,0.420906,8.44817,126249472,198640000,82624,130000,1.17621,1.17621,120.728,120.728,138.287,34776.9
407456,8,10,1,2,38.4977,0.0016812,0.422445,8.14734,122168184,198640000,79953,130000,1.01554,1.01554,120.974,120.974,134.415,33775.7
407456,9,10,1,2,37.1323,0.00168298,0.420568,8.34468,124880384,198640000,81728,130000,1.06135,1.06135,120.783,120.783,137.545,34372.2
407456,10,10,1,2,36.76,0.00167167,0.411697,8.37805,125619936,198640000,82212,130000,1.03811,1.03811,120.99,120.99,137.43,33846.4
407456,1,12,1,1,39.2351,0.00200542,0.379328,6.72701,100586712,165534352,65829,108334,1.11714,1.11714,120.738,120.738,132.013,24970.8
407456,2,12,1,1,41.5004,0.0020055,0.387754,6.48363,96837000,165534352,63375,108334,1.13961,1.13961,120.624,120.624,127.097,24573.9
407456,3,12,1,1,44.9102,0.00200727,0.393764,6.08772,91192568,165534352,59681,108334,1.0363,1.0363,120.874,120.874,119.794,23500.2
407456,4,12,1,1,43.6327,0.0019996,0.391544,6.24683,93307320,165534352,61065,108334,1.07647,1.07647,120.571,120.571,122.103,23909.6
407456,5,12,1,1,46.5846,0.00200388,0.397056,5.89893,88420776,165534352,57867,108334,1.06602,1.06602,120.98,120.98,115.956,22976.4
407456,6,12,1,1,41.949,0.00200629,0.38377,6.41917,96094392,165534352,62889,108334,1.09123,1.09123,120.851,120.851,126.172,24134.9
407456,7,12,1,1,42.7945,0.00200371,0.376651,6.32077,94694744,165534352,61973,108334,1.04575,1.04575,120.898,120.898,124.174,23342.2
