rngRun,flow,nStations,distance,linksNumber,loss,jitter,latency,throughput,rxBytes,txBytes,rxPackets,txPackets,timeFirstRxPacket,timeFirstTxPacket,timeLastRxPacket,timeLastTxPacket,jitterSum,delaySum,rateAdaptationManager,scenario,dataRate
407456,1,1,0,2,0.00621743,0.000133499,0.000537438,50.0004,786385200,786434096,514650,514682,1.00811,1.00811,121,121,68.7053,276.592,ns3::ThompsonSamplingWifiManager,C,50
407456,2,1,0,2,0.00641173,0.000164774,0.000841557,50.0004,786383672,786434096,514649,514682,1.00829,1.00829,121,121,84.8008,433.107,ns3::ThompsonSamplingWifiManager,C,50
407456,1,1,0,2,0.0064765,0.000115919,0.000608333,60.0003,943659184,943720304,617578,617618,1.00807,1.00807,121,121,71.589,375.693,ns3::ThompsonSamplingWifiManager,C,60
407456,2,1,0,2,0.00663841,0.000132103,0.00101429,60.0005,943657656,943720304,617577,617618,1.00865,1.00865,121,121,81.5838,626.404,ns3::ThompsonSamplingWifiManager,C,60
407456,1,1,0,2,0.00692174,6.78266e-05,0.000883707,80.0002,1258208680,1258295776,823435,823492,1.00811,1.00811,121,121,55.8507,727.675,ns3::ThompsonSamplingWifiManager,C,80
407456,2,1,0,2,0.00777178,7.23626e-05,0.00166576,79.9996,1258197984,1258295776,823428,823492,1.00829,1.00829,121,121,59.5854,1371.64,ns3::ThompsonSamplingWifiManager,C,80
407456,1,1,0,2,0.00652278,9.22352e-05,0.000704453,70.0001,1100931640,1101003456,720505,720552,1.00811,1.00811,121,121,66.4558,507.562,ns3::ThompsonSamplingWifiManager,C,70
407456,2,1,0,2,0.00680034,0.000100475,0.00123515,70,1100928584,1101003456,720503,720552,1.00829,1.00829,121,121,72.3926,889.927,ns3::ThompsonSamplingWifiManager,C,70
407456,1,1,0,2,0.00712414,4.4989e-05,0.00123691,89.9999,1415479608,1415580456,926361,926427,1.00807,1.00807,121,121,41.676,1145.83,ns3::ThompsonSamplingWifiManager,C,90
407456,2,1,0,2,0.00895915,4.75535e-05,0.0026341,89.9987,1415453632,1415580456,926344,926427,1.00877,1.00877,121,121,44.0508,2440.08,ns3::ThompsonSamplingWifiManager,C,90
407456,1,1,0,2,0.0077718,2.4417e-05,0.00214593,99.9993,1572744424,1572866664,1029283,1029363,1.00811,1.00811,121,121,25.132,2208.77,ns3::ThompsonSamplingWifiManager,C,100
407456,2,1,0,2,0.183512,2.58598e-05,0.0537182,99.8241,1569980272,1572866664,1027474,1029363,1.0088,1.0088,121,121,26.5703,55194,ns3::ThompsonSamplingWifiManager,C,100
407456,1,1,0,2,3.06959,1.19188e-05,0.0911143,106.631,1677045704,1730154400,1097543,1132300,1.00804,1.00804,121,121,13.0813,100002,ns3::ThompsonSamplingWifiManager,C,110
407456,2,1,0,2,7.49236,2.22051e-05,0.342823,101.766,1600524992,1730154400,1047464,1132300,1.00874,1.00874,121,121,23.2591,359095,ns3::ThompsonSamplingWifiManager,C,110
407456,1,1,0,2,11.1445,2.37311e-05,0.733701,106.633,1677085432,1887429912,1097569,1235229,1.00807,1.00807,121,121,26.0465,805287,ns3::ThompsonSamplingWifiManager,C,120
407456,2,1,0,2,15.1795,3.33413e-05,0.858102,101.792,1600928384,1887429912,1047728,1235229,1.00877,1.00877,121,121,34.9326,899058,ns3::ThompsonSamplingWifiManager,C,120
407456,1,1,0,2,17.9821,3.76531e-05,0.833857,106.63,1677033480,2044717648,1097535,1338166,1.0081,1.0081,121,121,41.3255,915187,ns3::ThompsonSamplingWifiManager,C,130
407456,2,1,0,2,21.6647,4.7794e-05,0.940638,101.843,1601736696,2044717648,1048257,1338166,1.0088,1.0088,121,121,50.1003,986030,ns3::ThompsonSamplingWifiManager,C,130
407456,1,1,0,2,23.8344,4.94736e-05,0.909214,106.64,1677181696,2202020664,1097632,1441113,1.00804,1.00804,121,121,54.3038,997983,ns3::ThompsonSamplingWifiManager,C,140
407456,2,1,0,2,27.2907,5.98478e-05,0.9413,101.801,1601073544,2202020664,1047823,1441113,1.00874,1.00874,121,121,62.7099,986316,ns3::ThompsonSamplingWifiManager,C,140
407456,1,1,0,2,28.9088,6.00433e-05,0.89597,106.644,1677253512,2359299232,1097679,1544044,1.00807,1.00807,121,121,65.9082,983487,ns3::ThompsonSamplingWifiManager,C,150
407456,2,1,0,2,32.1248,7.04202e-05,0.9167,101.82,1601379144,2359299232,1048023,1544044,1.00877,1.00877,121,121,73.802,960723,ns3::ThompsonSamplingWifiManager,C,150
